Model,Fold,Task,Train/Test,Type,AUC
MTMK L2,0,0,train,total,1.0
MTMK L2,0,0,train,image,1.0
MTMK L2,0,0,train,text,1.0
MTMK L2,0,0,test,total,0.8722222222222222
MTMK L2,0,0,test,image,0.9075
MTMK L2,0,0,test,text,0.92
MTMK L2,0,1,train,total,1.0
MTMK L2,0,1,train,image,1.0
MTMK L2,0,1,train,text,1.0
MTMK L2,0,1,test,total,0.9099999999999999
MTMK L2,0,1,test,image,0.95
MTMK L2,0,1,test,text,0.99
MTMK L2,0,2,train,total,1.0
MTMK L2,0,2,train,image,1.0
MTMK L2,0,2,train,text,1.0
MTMK L2,0,2,test,total,0.9655555555555555
MTMK L2,0,2,test,image,1.0
MTMK L2,0,2,test,text,0.79
MTMK L2,0,3,train,total,1.0
MTMK L2,0,3,train,image,1.0
MTMK L2,0,3,train,text,1.0
MTMK L2,0,3,test,total,0.9111111111111112
MTMK L2,0,3,test,image,0.95
MTMK L2,0,3,test,text,0.9
MTMK L2,0,4,train,total,1.0
MTMK L2,0,4,train,image,1.0
MTMK L2,0,4,train,text,1.0
MTMK L2,0,4,test,total,0.9177777777777778
MTMK L2,0,4,test,image,0.9525000000000001
MTMK L2,0,4,test,text,0.88
MTMK L2,0,5,train,total,1.0
MTMK L2,0,5,train,image,1.0
MTMK L2,0,5,train,text,1.0
MTMK L2,0,5,test,total,0.9933333333333334
MTMK L2,0,5,test,image,1.0
MTMK L2,0,5,test,text,0.9400000000000001
MTMK L2,0,AVG,train,total,1.0
MTMK L2,0,AVG,train,image,1.0
MTMK L2,0,AVG,train,text,1.0
MTMK L2,0,AVG,test,total,0.9283333333333332
MTMK L2,0,AVG,test,image,0.96
MTMK L2,0,AVG,test,text,0.9033333333333334
MTMK L2,1,0,train,total,1.0
MTMK L2,1,0,train,image,1.0
MTMK L2,1,0,train,text,1.0
MTMK L2,1,0,test,total,0.7744444444444445
MTMK L2,1,0,test,image,0.7325
MTMK L2,1,0,test,text,0.95
MTMK L2,1,1,train,total,1.0
MTMK L2,1,1,train,image,1.0
MTMK L2,1,1,train,text,1.0
MTMK L2,1,1,test,total,0.9311111111111111
MTMK L2,1,1,test,image,0.9675
MTMK L2,1,1,test,text,1.0
MTMK L2,1,2,train,total,1.0
MTMK L2,1,2,train,image,1.0
MTMK L2,1,2,train,text,1.0
MTMK L2,1,2,test,total,0.9733333333333333
MTMK L2,1,2,test,image,1.0
MTMK L2,1,2,test,text,0.76
MTMK L2,1,3,train,total,1.0
MTMK L2,1,3,train,image,1.0
MTMK L2,1,3,train,text,1.0
MTMK L2,1,3,test,total,0.8433333333333334
MTMK L2,1,3,test,image,0.8999999999999999
MTMK L2,1,3,test,text,0.92
MTMK L2,1,4,train,total,1.0
MTMK L2,1,4,train,image,1.0
MTMK L2,1,4,train,text,1.0
MTMK L2,1,4,test,total,0.8844444444444444
MTMK L2,1,4,test,image,0.9075
MTMK L2,1,4,test,text,0.75
MTMK L2,1,5,train,total,1.0
MTMK L2,1,5,train,image,1.0
MTMK L2,1,5,train,text,1.0
MTMK L2,1,5,test,total,1.0
MTMK L2,1,5,test,image,1.0
MTMK L2,1,5,test,text,1.0
MTMK L2,1,AVG,train,total,1.0
MTMK L2,1,AVG,train,image,1.0
MTMK L2,1,AVG,train,text,1.0
MTMK L2,1,AVG,test,total,0.9011111111111111
MTMK L2,1,AVG,test,image,0.9179166666666667
MTMK L2,1,AVG,test,text,0.8966666666666666
MTMK L2,2,0,train,total,0.9999652777777778
MTMK L2,2,0,train,image,0.9999218750000001
MTMK L2,2,0,train,text,1.0
MTMK L2,2,0,test,total,0.8
MTMK L2,2,0,test,image,0.7825
MTMK L2,2,0,test,text,0.89
MTMK L2,2,1,train,total,1.0
MTMK L2,2,1,train,image,1.0
MTMK L2,2,1,train,text,1.0
MTMK L2,2,1,test,total,0.8077777777777778
MTMK L2,2,1,test,image,0.8275
MTMK L2,2,1,test,text,1.0
MTMK L2,2,2,train,total,1.0
MTMK L2,2,2,train,image,1.0
MTMK L2,2,2,train,text,1.0
MTMK L2,2,2,test,total,0.9455555555555556
MTMK L2,2,2,test,image,1.0
MTMK L2,2,2,test,text,0.61
MTMK L2,2,3,train,total,1.0
MTMK L2,2,3,train,image,1.0
MTMK L2,2,3,train,text,1.0
MTMK L2,2,3,test,total,0.831111111111111
MTMK L2,2,3,test,image,0.87
MTMK L2,2,3,test,text,0.74
MTMK L2,2,4,train,total,1.0
MTMK L2,2,4,train,image,1.0
MTMK L2,2,4,train,text,1.0
MTMK L2,2,4,test,total,0.9444444444444444
MTMK L2,2,4,test,image,0.98
MTMK L2,2,4,test,text,0.8600000000000001
MTMK L2,2,5,train,total,1.0
MTMK L2,2,5,train,image,1.0
MTMK L2,2,5,train,text,1.0
MTMK L2,2,5,test,total,0.9822222222222222
MTMK L2,2,5,test,image,1.0
MTMK L2,2,5,test,text,0.9400000000000001
MTMK L2,2,AVG,train,total,0.9999942129629629
MTMK L2,2,AVG,train,image,0.9999869791666667
MTMK L2,2,AVG,train,text,1.0
MTMK L2,2,AVG,test,total,0.8851851851851852
MTMK L2,2,AVG,test,image,0.91
MTMK L2,2,AVG,test,text,0.8400000000000002
MTMK L2,3,0,train,total,0.9999652777777778
MTMK L2,3,0,train,image,0.9999218750000001
MTMK L2,3,0,train,text,1.0
MTMK L2,3,0,test,total,0.8644444444444445
MTMK L2,3,0,test,image,0.885
MTMK L2,3,0,test,text,0.93
MTMK L2,3,1,train,total,1.0
MTMK L2,3,1,train,image,1.0
MTMK L2,3,1,train,text,1.0
MTMK L2,3,1,test,total,0.7622222222222222
MTMK L2,3,1,test,image,0.7825
MTMK L2,3,1,test,text,0.91
MTMK L2,3,2,train,total,1.0
MTMK L2,3,2,train,image,1.0
MTMK L2,3,2,train,text,1.0
MTMK L2,3,2,test,total,0.9444444444444444
MTMK L2,3,2,test,image,0.98
MTMK L2,3,2,test,text,0.8799999999999999
MTMK L2,3,3,train,total,1.0
MTMK L2,3,3,train,image,1.0
MTMK L2,3,3,train,text,1.0
MTMK L2,3,3,test,total,0.8144444444444444
MTMK L2,3,3,test,image,0.81
MTMK L2,3,3,test,text,0.96
MTMK L2,3,4,train,total,1.0
MTMK L2,3,4,train,image,1.0
MTMK L2,3,4,train,text,1.0
MTMK L2,3,4,test,total,0.9488888888888889
MTMK L2,3,4,test,image,0.995
MTMK L2,3,4,test,text,0.86
MTMK L2,3,5,train,total,1.0
MTMK L2,3,5,train,image,1.0
MTMK L2,3,5,train,text,1.0
MTMK L2,3,5,test,total,1.0
MTMK L2,3,5,test,image,1.0
MTMK L2,3,5,test,text,1.0
MTMK L2,3,AVG,train,total,0.9999942129629629
MTMK L2,3,AVG,train,image,0.9999869791666667
MTMK L2,3,AVG,train,text,1.0
MTMK L2,3,AVG,test,total,0.889074074074074
MTMK L2,3,AVG,test,image,0.90875
MTMK L2,3,AVG,test,text,0.9233333333333333
MTMK L2,4,0,train,total,0.9999652777777778
MTMK L2,4,0,train,image,0.9999218750000001
MTMK L2,4,0,train,text,1.0
MTMK L2,4,0,test,total,0.8633333333333333
MTMK L2,4,0,test,image,0.8825
MTMK L2,4,0,test,text,0.8899999999999999
MTMK L2,4,1,train,total,1.0
MTMK L2,4,1,train,image,1.0
MTMK L2,4,1,train,text,1.0
MTMK L2,4,1,test,total,0.8555555555555555
MTMK L2,4,1,test,image,0.875
MTMK L2,4,1,test,text,1.0
MTMK L2,4,2,train,total,1.0
MTMK L2,4,2,train,image,1.0
MTMK L2,4,2,train,text,1.0
MTMK L2,4,2,test,total,0.9777777777777779
MTMK L2,4,2,test,image,1.0
MTMK L2,4,2,test,text,0.9
MTMK L2,4,3,train,total,1.0
MTMK L2,4,3,train,image,1.0
MTMK L2,4,3,train,text,1.0
MTMK L2,4,3,test,total,0.8944444444444445
MTMK L2,4,3,test,image,0.9375
MTMK L2,4,3,test,text,0.86
MTMK L2,4,4,train,total,1.0
MTMK L2,4,4,train,image,1.0
MTMK L2,4,4,train,text,1.0
MTMK L2,4,4,test,total,0.9388888888888889
MTMK L2,4,4,test,image,0.96
MTMK L2,4,4,test,text,0.9099999999999999
MTMK L2,4,5,train,total,1.0
MTMK L2,4,5,train,image,1.0
MTMK L2,4,5,train,text,1.0
MTMK L2,4,5,test,total,0.9977777777777778
MTMK L2,4,5,test,image,1.0
MTMK L2,4,5,test,text,0.98
MTMK L2,4,AVG,train,total,0.9999942129629629
MTMK L2,4,AVG,train,image,0.9999869791666667
MTMK L2,4,AVG,train,text,1.0
MTMK L2,4,AVG,test,total,0.9212962962962963
MTMK L2,4,AVG,test,image,0.9424999999999999
MTMK L2,4,AVG,test,text,0.9233333333333332
MTMK L2,AVG,0,train,total,0.9999791666666666
MTMK L2,AVG,0,train,image,0.999953125
MTMK L2,AVG,0,train,text,1.0
MTMK L2,AVG,0,test,total,0.834888888888889
MTMK L2,AVG,0,test,image,0.8380000000000001
MTMK L2,AVG,0,test,text,0.916
MTMK L2,AVG,1,train,total,1.0
MTMK L2,AVG,1,train,image,1.0
MTMK L2,AVG,1,train,text,1.0
MTMK L2,AVG,1,test,total,0.8533333333333333
MTMK L2,AVG,1,test,image,0.8805
MTMK L2,AVG,1,test,text,0.9800000000000001
MTMK L2,AVG,2,train,total,1.0
MTMK L2,AVG,2,train,image,1.0
MTMK L2,AVG,2,train,text,1.0
MTMK L2,AVG,2,test,total,0.9613333333333334
MTMK L2,AVG,2,test,image,0.9960000000000001
MTMK L2,AVG,2,test,text,0.788
MTMK L2,AVG,3,train,total,1.0
