0.993Model,Fold,Task,Train/Test,Type,AUC
LR,0,0,train,total,0.991875
LR,0,0,train,image,0.99921875
LR,0,0,train,text,0.9562499999999999
LR,0,0,test,total,0.74
LR,0,0,test,image,0.7175
LR,0,0,test,text,0.89
LR,0,1,train,total,0.9956944444444444
LR,0,1,train,image,0.9990625
LR,0,1,train,text,0.9881249999999999
LR,0,1,test,total,0.8433333333333334
LR,0,1,test,image,0.8075
LR,0,1,test,text,0.99
LR,0,2,train,total,0.9897222222222222
LR,0,2,train,image,1.0
LR,0,2,train,text,0.908125
LR,0,2,test,total,0.9733333333333333
LR,0,2,test,image,1.0
LR,0,2,test,text,0.79
LR,0,3,train,total,0.9945138888888889
LR,0,3,train,image,1.0
LR,0,3,train,text,0.951875
LR,0,3,test,total,0.9255555555555556
LR,0,3,test,image,0.9475
LR,0,3,test,text,0.9
LR,0,4,train,total,0.9926388888888888
LR,0,4,train,image,1.0
LR,0,4,train,text,0.9450000000000001
LR,0,4,test,total,0.8966666666666667
LR,0,4,test,image,0.9375
LR,0,4,test,text,0.86
LR,0,5,train,total,0.9984722222222222
LR,0,5,train,image,1.0
LR,0,5,train,text,0.9862500000000001
LR,0,5,test,total,0.99
LR,0,5,test,image,1.0
LR,0,5,test,text,0.9400000000000001
LR,0,AVG,train,total,0.9938194444444446
LR,0,AVG,train,image,0.9997135416666666
LR,0,AVG,train,text,0.9559375000000001
LR,0,AVG,test,total,0.8948148148148148
LR,0,AVG,test,image,0.9016666666666667
LR,0,AVG,test,text,0.895
LR,1,0,train,total,0.9935416666666665
LR,1,0,train,image,1.0
LR,1,0,train,text,0.954375
LR,1,0,test,total,0.7288888888888889
LR,1,0,test,image,0.6725
LR,1,0,test,text,0.9600000000000001
LR,1,1,train,total,0.9940972222222222
LR,1,1,train,image,0.99828125
LR,1,1,train,text,0.9818749999999999
LR,1,1,test,total,0.8777777777777778
LR,1,1,test,image,0.88
LR,1,1,test,text,0.9800000000000001
LR,1,2,train,total,0.9893055555555557
LR,1,2,train,image,1.0
LR,1,2,train,text,0.90375
LR,1,2,test,total,0.97
LR,1,2,test,image,1.0
LR,1,2,test,text,0.7400000000000001
LR,1,3,train,total,0.9933333333333333
LR,1,3,train,image,1.0
LR,1,3,train,text,0.94
LR,1,3,test,total,0.8577777777777779
LR,1,3,test,image,0.88
LR,1,3,test,text,0.92
LR,1,4,train,total,0.9927777777777778
LR,1,4,train,image,0.99984375
LR,1,4,train,text,0.948125
LR,1,4,test,total,0.92
LR,1,4,test,image,0.965
LR,1,4,test,text,0.78
LR,1,5,train,total,0.9981249999999999
LR,1,5,train,image,1.0
LR,1,5,train,text,0.983125
LR,1,5,test,total,1.0
LR,1,5,test,image,1.0
LR,1,5,test,text,1.0
LR,1,AVG,train,total,0.9935300925925925
LR,1,AVG,train,image,0.9996875
LR,1,AVG,train,text,0.9518749999999999
LR,1,AVG,test,total,0.8924074074074074
LR,1,AVG,test,image,0.8995833333333333
LR,1,AVG,test,text,0.8966666666666666
LR,2,0,train,total,0.9892013888888889
LR,2,0,train,image,0.9977343750000001
LR,2,0,train,text,0.96375
LR,2,0,test,total,0.6933333333333334
LR,2,0,test,image,0.6925
LR,2,0,test,text,0.8600000000000001
LR,2,1,train,total,0.9936805555555557
LR,2,1,train,image,0.9971875
LR,2,1,train,text,0.9862500000000001
LR,2,1,test,total,0.8322222222222222
LR,2,1,test,image,0.7749999999999999
