Model,Fold,Task,Train/Test,Type,AUC
MTSK,0,0,train,total,0.9364583333333333
MTSK,0,0,train,image,0.9675
MTSK,0,0,train,text,0.91125
MTSK,0,0,test,total,0.69
MTSK,0,0,test,image,0.6775
MTSK,0,0,test,text,0.8099999999999999
MTSK,0,1,train,total,0.9661805555555555
MTSK,0,1,train,image,0.98234375
MTSK,0,1,train,text,0.969375
MTSK,0,1,test,total,0.8233333333333334
MTSK,0,1,test,image,0.7925
MTSK,0,1,test,text,0.95
MTSK,0,2,train,total,0.9802777777777778
MTSK,0,2,train,image,0.99921875
MTSK,0,2,train,text,0.86375
MTSK,0,2,test,total,0.9744444444444444
MTSK,0,2,test,image,1.0
MTSK,0,2,test,text,0.77
MTSK,0,3,train,total,0.961875
MTSK,0,3,train,image,0.9885937499999999
MTSK,0,3,train,text,0.856875
MTSK,0,3,test,total,0.9033333333333333
MTSK,0,3,test,image,0.9425000000000001
MTSK,0,3,test,text,0.8600000000000001
MTSK,0,4,train,total,0.9779166666666667
MTSK,0,4,train,image,0.9971874999999999
MTSK,0,4,train,text,0.8825
MTSK,0,4,test,total,0.898888888888889
MTSK,0,4,test,image,0.9450000000000001
MTSK,0,4,test,text,0.8400000000000001
MTSK,0,5,train,total,0.9977083333333334
MTSK,0,5,train,image,1.0
MTSK,0,5,train,text,0.979375
MTSK,0,5,test,total,0.9933333333333334
MTSK,0,5,test,image,1.0
MTSK,0,5,test,text,0.9400000000000001
MTSK,0,AVG,train,total,0.9700694444444444
MTSK,0,AVG,train,image,0.989140625
MTSK,0,AVG,train,text,0.9105208333333333
MTSK,0,AVG,test,total,0.8805555555555555
MTSK,0,AVG,test,image,0.8929166666666667
MTSK,0,AVG,test,text,0.8616666666666667
MTSK,1,0,train,total,0.9315277777777777
MTSK,1,0,train,image,0.96203125
MTSK,1,0,train,text,0.91625
MTSK,1,0,test,total,0.7555555555555556
MTSK,1,0,test,image,0.7424999999999999
MTSK,1,0,test,text,0.9
MTSK,1,1,train,total,0.9562499999999999
MTSK,1,1,train,image,0.973125
MTSK,1,1,train,text,0.9724999999999999
MTSK,1,1,test,total,0.8666666666666667
MTSK,1,1,test,image,0.915
MTSK,1,1,test,text,0.9600000000000001
MTSK,1,2,train,total,0.9811805555555556
MTSK,1,2,train,image,0.9990625000000001
MTSK,1,2,train,text,0.8631250000000001
MTSK,1,2,test,total,0.9744444444444446
MTSK,1,2,test,image,1.0
MTSK,1,2,test,text,0.77
MTSK,1,3,train,total,0.9627083333333333
MTSK,1,3,train,image,0.9915625000000001
MTSK,1,3,train,text,0.845
MTSK,1,3,test,total,0.8666666666666667
MTSK,1,3,test,image,0.9175
MTSK,1,3,test,text,0.8900000000000001
MTSK,1,4,train,total,0.9722222222222222
MTSK,1,4,train,image,0.9953125
MTSK,1,4,train,text,0.87125
MTSK,1,4,test,total,0.9155555555555556
MTSK,1,4,test,image,0.9550000000000001
MTSK,1,4,test,text,0.8200000000000001
MTSK,1,5,train,total,0.9970138888888889
MTSK,1,5,train,image,1.0
MTSK,1,5,train,text,0.9731249999999999
MTSK,1,5,test,total,1.0
MTSK,1,5,test,image,1.0
MTSK,1,5,test,text,1.0
MTSK,1,AVG,train,total,0.9668171296296295
MTSK,1,AVG,train,image,0.9868489583333333
MTSK,1,AVG,train,text,0.9068749999999999
MTSK,1,AVG,test,total,0.8964814814814814
MTSK,1,AVG,test,image,0.9216666666666665
MTSK,1,AVG,test,text,0.89
MTSK,2,0,train,total,0.9373263888888889
MTSK,2,0,train,image,0.963828125
MTSK,2,0,train,text,0.9281250000000001
MTSK,2,0,test,total,0.6855555555555556
MTSK,2,0,test,image,0.7
MTSK,2,0,test,text,0.85
MTSK,2,1,train,total,0.9522916666666666
MTSK,2,1,train,image,0.9659375000000001
MTSK,2,1,train,text,0.97125
MTSK,2,1,test,total,0.8677777777777778
MTSK,2,1,test,image,0.89
MTSK,2,1,test,text,1.0
MTSK,2,2,train,total,0.9809027777777777
MTSK,2,2,train,image,0.9993749999999999
MTSK,2,2,train,text,0.880625
MTSK,2,2,test,total,0.9577777777777778
MTSK,2,2,test,image,1.0
MTSK,2,2,test,text,0.64
MTSK,2,3,train,total,0.9706944444444444
MTSK,2,3,train,image,0.9915624999999999
MTSK,2,3,train,text,0.87625
MTSK,2,3,test,total,0.8544444444444445
MTSK,2,3,test,image,0.9025
MTSK,2,3,test,text,0.7
MTSK,2,4,train,total,0.9714583333333333
MTSK,2,4,train,image,0.99265625
MTSK,2,4,train,text,0.8699999999999999
MTSK,2,4,test,total,0.92
MTSK,2,4,test,image,0.9525
MTSK,2,4,test,text,0.85
MTSK,2,5,train,total,0.997986111111111
MTSK,2,5,train,image,1.0
MTSK,2,5,train,text,0.981875
MTSK,2,5,test,total,0.9888888888888889
MTSK,2,5,test,image,1.0
MTSK,2,5,test,text,0.9400000000000001
MTSK,2,AVG,train,total,0.9684432870370369
MTSK,2,AVG,train,image,0.9855598958333335
