Model,Fold,Task,Train/Test,Type,AUC
STMK,0,0,train,total,0.9915277777777778
STMK,0,0,train,image,0.9990625000000001
STMK,0,0,train,text,0.953125
STMK,0,0,test,total,0.8677777777777778
STMK,0,0,test,image,0.8875
STMK,0,0,test,text,0.88
STMK,0,1,train,total,0.9746527777777777
STMK,0,1,train,image,0.9946875
STMK,0,1,train,text,0.984375
STMK,0,1,test,total,0.88
STMK,0,1,test,image,0.9349999999999999
STMK,0,1,test,text,0.9800000000000001
STMK,0,2,train,total,0.9811805555555555
STMK,0,2,train,image,1.0
STMK,0,2,train,text,0.830625
STMK,0,2,test,total,0.9566666666666668
STMK,0,2,test,image,1.0
STMK,0,2,test,text,0.71
STMK,0,3,train,total,0.9769444444444444
STMK,0,3,train,image,0.9996875
STMK,0,3,train,text,0.8437500000000001
STMK,0,3,test,total,0.9144444444444444
STMK,0,3,test,image,0.9675
STMK,0,3,test,text,0.85
STMK,0,4,train,total,0.964375
STMK,0,4,train,image,0.99640625
STMK,0,4,train,text,0.775625
STMK,0,4,test,total,0.8855555555555555
STMK,0,4,test,image,0.955
STMK,0,4,test,text,0.75
STMK,0,5,train,total,0.9983333333333334
STMK,0,5,train,image,1.0
STMK,0,5,train,text,0.985
STMK,0,5,test,total,0.9933333333333334
STMK,0,5,test,image,1.0
STMK,0,5,test,text,0.9400000000000001
STMK,0,AVG,train,total,0.9811689814814814
STMK,0,AVG,train,image,0.9983072916666665
STMK,0,AVG,train,text,0.8954166666666667
STMK,0,AVG,test,total,0.9162962962962963
STMK,0,AVG,test,image,0.9575
STMK,0,AVG,test,text,0.8516666666666667
STMK,1,0,train,total,0.9614583333333333
STMK,1,0,train,image,0.9865625
STMK,1,0,train,text,0.92125
STMK,1,0,test,total,0.8622222222222222
STMK,1,0,test,image,0.8999999999999999
STMK,1,0,test,text,0.9600000000000001
STMK,1,1,train,total,0.9620138888888888
STMK,1,1,train,image,0.9893749999999999
STMK,1,1,train,text,0.9762500000000001
STMK,1,1,test,total,0.9111111111111111
STMK,1,1,test,image,0.935
STMK,1,1,test,text,0.96
STMK,1,2,train,total,0.9846527777777778
STMK,1,2,train,image,1.0
STMK,1,2,train,text,0.8618750000000001
STMK,1,2,test,total,0.9766666666666667
STMK,1,2,test,image,1.0
STMK,1,2,test,text,0.79
STMK,1,3,train,total,0.9448611111111112
STMK,1,3,train,image,0.98421875
STMK,1,3,train,text,0.81875
STMK,1,3,test,total,0.86
STMK,1,3,test,image,0.9375
STMK,1,3,test,text,0.8900000000000001
STMK,1,4,train,total,0.9893055555555557
STMK,1,4,train,image,1.0
STMK,1,4,train,text,0.9137500000000001
STMK,1,4,test,total,0.8977777777777778
STMK,1,4,test,image,0.94
STMK,1,4,test,text,0.76
STMK,1,5,train,total,0.9980555555555555
STMK,1,5,train,image,1.0
STMK,1,5,train,text,0.9824999999999999
STMK,1,5,test,total,1.0
STMK,1,5,test,image,1.0
STMK,1,5,test,text,1.0
STMK,1,AVG,train,total,0.9733912037037036
STMK,1,AVG,train,image,0.9933593749999999
STMK,1,AVG,train,text,0.9123958333333334
STMK,1,AVG,test,total,0.9179629629629629
STMK,1,AVG,test,image,0.9520833333333334
STMK,1,AVG,test,text,0.8933333333333334
STMK,2,0,train,total,0.9681597222222222
STMK,2,0,train,image,0.9922656249999999
STMK,2,0,train,text,0.946875
STMK,2,0,test,total,0.7844444444444445
STMK,2,0,test,image,0.8425
STMK,2,0,test,text,0.8500000000000001
